sex class
cp thal class
fbs cp class
restecg cp class
exang cp class
slope thal class
thal sex class

negative negative 0.9885534707056570
negative negative 0.9177419281586250
negative negative 0.8107332962402581
negative negative 0.8375243134699476
negative negative 0.6366002574743056
negative negative 0.5390309373938493
negative negative 0.9646295160067871
negative negative 0.9749064025290469
negative negative 0.7643404425124131
positive negative 0.5368928673311512
negative negative 0.9885534707056570
positive negative 0.6229222760272372
negative negative 0.8678409187411978
negative negative 0.7789167690594716
negative negative 0.9344059891162044
negative negative 0.9726874727194594
negative negative 0.9749064025290469
negative negative 0.9885534707056570
negative negative 0.8779024152957519
negative negative 0.9749064025290469
negative negative 0.9112759552107396
negative negative 0.9295815523055559
negative negative 0.9749064025290469
negative negative 0.9614005701376464
negative negative 0.9646295160067871
negative negative 0.9646295160067871
negative negative 0.9885534707056570
negative negative 0.9579285807457072
negative negative 0.9849557994660116
negative negative 0.9330924266326290
positive negative 0.8262865393251069
positive negative 0.9666043450884469
negative negative 0.9726874727194594
negative negative 0.6746543473165310
negative negative 0.9180638164751010
negative negative 0.9579285807457072
negative negative 0.7888011112440307
negative negative 0.9274511985316820
negative negative 0.9180638164751010
negative negative 0.9606155564458181
negative negative 0.9246338082862414
negative negative 0.9246338082862414
positive negative 0.7088785763893285
negative negative 0.8678409187411978
positive negative 0.5368928673311512
negative negative 0.9112759552107396
negative negative 0.9180638164751010
negative negative 0.8678409187411978
negative negative 0.9246338082862414
negative negative 0.9646295160067871
positive negative 0.5340099864372790
negative negative 0.7225702405154349
negative negative 0.8826753027551135
negative negative 0.9885534707056570
negative negative 0.9646295160067871
negative negative 0.9246338082862414
negative negative 0.9246338082862414
positive positive 0.9833525940713199
negative positive 0.5526489767907324
negative positive 0.7150422020670160
positive positive 0.9919583537492403
negative positive 0.8779024152957519
positive positive 0.9666043450884469
negative positive 0.5526489767907324
positive positive 0.8395198916589377
positive positive 0.6013894003533117
negative positive 0.6837361476065740
negative positive 0.9183418150777043
positive positive 0.8395198916589377
positive positive 0.9824763967467490
positive positive 0.6357367755320505
negative positive 0.6895702831329416
negative positive 0.6746543473165310
negative positive 0.5390309373938493
positive positive 0.8395198916589377
negative positive 0.5390309373938493
positive positive 0.8448466113542945
negative positive 0.8474749651300886
negative positive 0.9778578622031526
positive positive 0.8395198916589377
positive positive 0.8262865393251069
positive positive 0.8621883840901024
positive positive 0.5705762948585969
negative positive 0.5390309373938493
positive positive 0.9026946570620250
positive positive 0.9666043450884469
negative positive 0.8850873056578456
negative positive 0.9274511985316820
positive positive 0.9666043450884469
positive positive 0.9665330031608822
negative positive 0.5390309373938493
negative positive 0.8543726168371430
positive positive 0.9396903676905228
positive positive 0.6942677133795721
positive positive 0.6132329154425486
positive positive 0.9026946570620250
negative positive 0.5526489767907324
positive positive 0.8167583636165150
positive positive 0.9805977148566915
negative positive 0.6330461007651527
positive positive 0.9300213085058851
positive positive 0.9666043450884469
negative positive 0.9211058545327605

76
